hola - cześć
adiós - do widzenia
sí - tak
no - nie
gracias - dziękuję
por favor - proszę
perdón - przepraszam
el hombre - mężczyzna
la mujer - kobieta
el niño - chłopiec
la niña - dziewczynka
el amigo - przyjaciel
la amiga - przyjaciółka
la familia - rodzina
la casa - dom
la escuela - szkoła
el trabajo - praca
la calle - ulica
el coche - samochód
el tren - pociąg
el avión - samolot
la comida - jedzenie
el agua - woda
el pan - chleb
la leche - mleko
el café - kawa
el té - herbata
la fruta - owoc
la verdura - warzywo
el perro - pies
el gato - kot
el libro - książka
la mesa - stół
la silla - krzesło
la cama - łóżko
la ventana - okno
la puerta - drzwi
el sol - słońce
la luna - księżyc
el cielo - niebo
el mar - morze
la montaña - góra
el día - dzień
la noche - noc
hoy - dziś
mañana - jutro
ayer - wczoraj
el tiempo - czas/pogoda
el año - rok
el amor - miłość
el cuerpo - ciało
la cabeza - głowa
la mano - ręka
el brazo - ramię
la pierna - noga
el pie - stopa
el ojo - oko
la boca - usta
la nariz - nos
la oreja - ucho
el corazón - serce
la sangre - krew
el médico - lekarz
el hospital - szpital
la medicina - lekarstwo
la ciudad - miasto
el pueblo - miasteczko/wieś
el país - kraj
el mundo - świat
el mapa - mapa
la playa - plaża
el río - rzeka
el lago - jezioro
la isla - wyspa
el bosque - las
la flor - kwiat
el árbol - drzewo
la hoja - liść
el fuego - ogień
el viento - wiatr
la lluvia - deszcz
la nieve - śnieg
el calor - gorąco
el frío - zimno
el verano - lato
el invierno - zima
la primavera - wiosna
el otoño - jesień
el lunes - poniedziałek
el martes - wtorek
el miércoles - środa
el jueves - czwartek
el viernes - piątek
el sábado - sobota
el domingo - niedziela
la tarde - popołudnie
la medianoche - północ
el minuto - minuta
la hora - godzina
